Gene,logFC,p_value,adj_p,ID,Gene symbol,Gene title
226592_at,1.1342363348925328,1.169727312838982e-09,5.046841660667098e-08,226592_at,ZNF618,zinc finger protein 618
209153_s_at,1.3914362097132358,1.1734709057727824e-09,5.058994357517591e-08,209153_s_at,TCF3,transcription factor 3
220177_s_at,1.9073268915475152,1.1788319983444935e-09,5.0760983763526886e-08,220177_s_at,TMPRSS3,"transmembrane protease, serine 3"
227459_at,1.0692069506295248,1.1792984007063539e-09,5.0760983763526886e-08,227459_at,,
208156_x_at,2.941298457024891,1.1818890057553755e-09,5.083240350285472e-08,208156_x_at,EPPK1,epiplakin 1
225312_at,-1.1822236727121087,1.182939463375744e-09,5.0837522024869875e-08,225312_at,COMMD6,COMM domain containing 6
212081_x_at,0.8363184333727354,1.1848333671581359e-09,5.0878851570514486e-08,212081_x_at,PRRC2A,proline rich coiled-coil 2A
241008_at,0.7359368298297508,1.1891827578257619e-09,5.102547621019832e-08,241008_at,,
1556685_at,0.603328471769796,1.1907802402554436e-09,5.105388431492684e-08,1556685_at,,
230868_at,0.9852957512335978,1.197253643300198e-09,5.1291135476987075e-08,230868_at,,
238610_s_at,1.2414608949078063,1.2040283523839835e-09,5.154091250569839e-08,238610_s_at,,
201859_at,-1.1708944655412878,1.2084234767749601e-09,5.168851484239854e-08,201859_at,SRGN,serglycin
224892_at,-0.8353636673223939,1.214818138344994e-09,5.1921346258990955e-08,224892_at,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6
232179_at,1.2955258828286187,1.224914313439646e-09,5.2311892263867324e-08,232179_at,LOC158863,uncharacterized LOC158863
224806_at,1.453337011286762,1.2495135523855856e-09,5.3279062637228825e-08,224806_at,TRIM25,tripartite motif containing 25
204825_at,2.854548707678169,1.2488971315571627e-09,5.3279062637228825e-08,204825_at,MELK,maternal embryonic leucine zipper kinase
210470_x_at,1.1140221240096162,1.253447886320877e-09,5.3367090340815935e-08,210470_x_at,NONO,"non-POU domain containing, octamer-binding"
213358_at,1.5147349734095057,1.2535335901523666e-09,5.3367090340815935e-08,213358_at,MTCL1,microtubule crosslinking factor 1
1558220_at,0.4826429526934408,1.2578715040991816e-09,5.35100302589472e-08,1558220_at,,
201691_s_at,2.309257961461538,1.264854335488929e-09,5.376517505969647e-08,201691_s_at,TPD52,tumor protein D52
225947_at,1.8006156473156114,1.267265027893527e-09,5.38088000234834e-08,225947_at,MYO19,myosin XIX
201349_at,2.231398793312781,1.2678524126532115e-09,5.38088000234834e-08,201349_at,SLC9A3R1,SLC9A3 regulator 1
225251_at,0.7016143051380084,1.2693532950979951e-09,5.383063985482011e-08,225251_at,RAB24,"RAB24, member RAS oncogene family"
202726_at,1.7085093309592765,1.2989672329335127e-09,5.501579281456007e-08,202726_at,LIG1,DNA ligase 1
230285_at,2.3574229060588228,1.2993157979803206e-09,5.501579281456007e-08,230285_at,SVIP,small VCP interacting protein
202747_s_at,-2.500673396945137,1.3042142146699711e-09,5.5137651140567287e-08,202747_s_at,ITM2A,integral membrane protein 2A
219369_s_at,0.3393141742460397,1.3041227136196507e-09,5.5137651140567287e-08,219369_s_at,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2"
221764_at,1.176767595023188,1.3073991381452524e-09,5.521610021904509e-08,221764_at,R3HDM4,R3H domain containing 4
1560082_at,0.5919082377392546,1.3080931783877554e-09,5.521610021904509e-08,1560082_at,,
232676_x_at,1.6631887654960398,1.3091383094745395e-09,5.521751143184768e-08,232676_x_at,MYEF2,myelin expression factor 2
238412_at,1.5159057358139163,1.3122821743086563e-09,5.522208850546813e-08,238412_at,LOC101060405///RRN3P3,"putative RRN3-like protein RRN3P1///RRN3 homolog, RNA polymerase I transcription factor pseudogene 3"
243661_at,0.6407955588648164,1.3119178704656991e-09,5.522208850546813e-08,243661_at,LOC285902///ZNF273,uncharacterized LOC285902///zinc finger protein 273
205164_at,1.5798992589632368,1.3103616721259063e-09,5.522208850546813e-08,205164_at,GCAT,glycine C-acetyltransferase
229574_at,2.219997498730204,1.319622458453144e-09,5.5488192727206586e-08,229574_at,TRA2A,transformer 2 alpha homolog
227383_at,2.484249977810518,1.3206488180005935e-09,5.5488600336916394e-08,227383_at,LOC727820,uncharacterized LOC727820
224596_at,1.7556253350022653,1.3304435643053115e-09,5.585713792016893e-08,224596_at,SLC44A1,solute carrier family 44 member 1
228935_at,0.674473076987558,1.3351919325647646e-09,5.6013405447695856e-08,228935_at,SLC4A8,solute carrier family 4 member 8
218478_s_at,0.8939746767624426,1.3441518154164568e-09,5.6345976907538244e-08,218478_s_at,ZCCHC8,zinc finger CCHC-type containing 8
213523_at,0.9944270819094988,1.3454488831350796e-09,5.6357064153975066e-08,213523_at,CCNE1,cyclin E1
242053_at,1.0172068436549804,1.3558734322682372e-09,5.675016569000623e-08,242053_at,,
221744_at,1.409385501002264,1.3587192594300391e-09,5.6825699969679786e-08,221744_at,DCAF7,DDB1 and CUL4 associated factor 7
241738_at,0.2764429732805413,1.3601510084620746e-09,5.684202288732893e-08,241738_at,ZNF250,zinc finger protein 250
228940_at,0.8065854569078064,1.3641877566053663e-09,5.693574825336663e-08,228940_at,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4
227964_at,1.1561818447160643,1.364480087861697e-09,5.693574825336663e-08,227964_at,FRMD8,FERM domain containing 8
213288_at,1.370068137003396,1.3656473039006447e-09,5.6940919938573946e-08,213288_at,MBOAT2,membrane bound O-acyltransferase domain containing 2
205622_at,0.7273293945531707,1.3917555544347096e-09,5.79852109965588e-08,205622_at,SMPD2,sphingomyelin phosphodiesterase 2
235290_at,0.4398200421572413,1.3946147179472423e-09,5.8060012731382565e-08,235290_at,ZNF782,zinc finger protein 782
221869_at,0.7786014429004533,1.396639648860755e-09,5.809999649022192e-08,221869_at,ZNF512B,zinc finger protein 512B
218435_at,-1.4849275493653824,1.4030662858257606e-09,5.83228901858981e-08,218435_at,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15
233157_x_at,0.7385217812516953,1.4494052323948156e-09,6.020326345424402e-08,233157_x_at,CCDC114,coiled-coil domain containing 114
209446_s_at,0.7054679221623315,1.4614293941112402e-09,6.065654365110067e-08,209446_s_at,,
